camp_id	model	dataset	revenue	ctr	cpc	auc	rmse	cpm	bids	imps	clks	laplace	interval	learn_rate	nds_ratio	budget_prop
1458	LR	test	28581387	2.0183721566290953	0.0015778428951036074	28.492179074446682	0.9773187762629822	0.027658409177287263	44.95618231863537	614638	314987	497	None	None	0.0001	None	1

Round	Test	ctr	cpc	auc	rmse	cpm	clks	imps	bids
1	6714908	0.0008159543065588327	64.05585620915033	0.6144837292564127	0.02893960594333455	52.26665173416956	306	375021	614638
2	11023124	0.0009356485012025576	51.44475235109718	0.6949182217679457	0.028923099859821857	48.13420543204083	319	340940	614638
3	14614814	0.0010485626693917448	44.71521468926554	0.7691139052518006	0.028910262118789366	46.88670487700123	354	337605	614638
4	18061199	0.0011574449035609837	40.04275063613232	0.8311451902467468	0.02889569941738982	46.34727764835469	393	339541	614638
5	21186745	0.001255195927327075	36.728500000000004	0.8801575754036433	0.02887848873034662	46.10146361683247	430	342576	614638
6	23228071	0.0013179733914207173	34.94929450549451	0.9165761107689931	0.028857958730203755	46.06224020716804	455	345227	614638
7	24700357	0.0013638473759634154	33.77937209302326	0.9416432247870904	0.02883338089001147	46.06990799076159	473	346813	614638
8	25112847	0.0013764347460506689	33.46266317991632	0.9576379618712414	0.02880393557997093	46.05917229622719	478	347274	614638
9	25916326	0.0014039963444201957	32.78372484599589	0.9670454065612137	0.02876870195342088	46.028229840255776	487	346867	614638
10	26749761	0.0014341270185482355	32.06903024193549	0.9725210244954408	0.02872665134473919	45.991062728600134	496	345855	614638
11	27092769	0.0014490985967846855	31.70587374749499	0.9755980147489193	0.028676646140362555	45.94493715732739	499	344352	614638
12	27295441	0.0014606685772211656	31.409118	0.9772248638278385	0.02861744703231223	45.8783117008317	500	342309	614638
13	27439216	0.0014717656478123676	31.121568	0.9780130839037352	0.02854773128987584	45.803654688456646	500	339728	614638
14	27603118	0.0014850411801919268	30.793764	0.9783455241857324	0.02846612452935235	45.73000763311167	500	336691	614638
15	27778029	0.0014990301275075025	30.443942	0.9783803643016453	0.02837124799935055	45.636386258091015	500	333549	614638
16	27807592	0.0015089400150894	30.161461847389557	0.9782420567246981	0.028261782282584084	45.51183669511837	498	330033	614638
17	28103213	0.0015292441121037067	29.68093587174349	0.9780270591566924	0.028136546369310286	45.38939642359143	499	326305	614638
18	28226550	0.0015437552310982982	29.320180722891568	0.9777869282661174	0.027994588313935472	45.26318236771134	498	322590	614638
19	28355444	0.0015584871699190026	28.946792756539235	0.9775439865158413	0.027835280461902444	45.11320512137072	497	318899	614638
20	28581387	0.0015778428951036074	28.492179074446682	0.9773187762629822	0.027658409177287263	44.95618231863537	497	314987	614638
